Bowler_name,Balls,Wickets,Economy,CLUSTER
Aaron James Finch,203,6,9.39,3
Aavishkar Madhav Salvi,389,18,8.12,9
Abhimanyu Mithun,834,41,8.26,1
Abhinav Mukund,105,11,5.77,3
Abhishek Arunkumar Jhunjhunwala,121,3,8.52,3
Abhishek Mohan Nayar,553,22,8.35,1
Abhishek Santosh Raut,152,9,8.48,3
Abrar Anjum Kazi,66,2,8.27,3
Abu Nachim Ahmed,1051,48,7.78,6
Adam Charles Voges,542,26,7.94,1
Adam Craig Gilchrist,1,1,0,3
Adam Fraser Milne,1200,64,7.71,6
Adam John Hollioake,385,40,8.02,9
Adam Zampa,1083,64,7,6
Aditya Pradeep Dole,66,5,10.18,3
Adrian Dimitri Mascarenhas,2647,152,7.1,7
Aiden Craig Blizzard,6,0,10,3
Ajinkya Madhukar Rahane,6,1,5,3
Ajit Bhalchandra Agarkar,1172,47,8.23,6
Ajit Chandila,472,24,6.31,9
Akashdeep Deependra Nath,126,8,8,3
Akshar Rajeshbhai Patel,1522,69,6.9,0
Alfonso Clive Thomas,4558,263,7.55,8
Ali Ghulam Murtaza,654,32,6.98,1
Amit Mishra,3569,199,7.03,4
Amit Singh,628,34,7.69,1
Amit Uniyal,60,5,8.8,3
Ammana Ashish Reddy,826,53,7.83,1
Anand Rajan,689,47,6.82,1
Andre Dwayne Russell,3779,201,8.13,4
Andre Nel,1240,37,6.74,6
Andrew Barry McDonald,1470,82,7.7,0
Andrew Flintoff,657,39,7.55,1
Andrew Symonds,1237,52,8.03,6
Angelo Davis Mathews,1933,78,7.27,2
Anil Kumble,1245,57,6.69,6
Ankeet Anil Chavan,476,19,7.97,9
Ankit Nagendra Sharma,799,33,7.32,1
Ankitsingh Rajpoot,439,25,7.28,9
Asadullah Khan Pathan,39,0,9.69,3
Ashish Nehra,2586,146,7.61,7
Ashley Allan Noffke,634,38,7.46,1
Ashok Bhimchandra Dinda,2305,117,7.61,2
Ashok Lakshminarayan Menaria,445,17,6.51,9
Azhar Mahmood Sagar,4825,258,7.63,8
Balachandra Akhil,535,24,7.15,1
Balapuwaduge Ajantha Winslo Mendis,2617,159,6.89,7
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,1092,61,7.18,6
Barinder Sran,519,28,7.75,1
Ben James Rohrer,6,0,12,3
Ben Laughlin,1846,109,7.77,2
Ben Robert Dunk,12,0,10.5,3
Benjamin Colin James Cutting,1047,47,8.41,6
Benjamin William Hilfenhaus,1666,96,7.5,0
Beuran Eric Hendricks,876,61,8.23,1
Bharat Chipli,24,1,11,3
Bhargav Ashokbhai Bhatt,684,41,7.66,1
Bhuvneshwar Kumar Singh,2229,108,7.06,2
Biplab Bipin Samantray,539,22,6.35,1
Bipul Sharma,1096,57,6.54,6
Bodapati Apparao Sumanth,24,0,8.75,3
Bradley John Hodge,1110,65,7.8,6
Brett Geeves,302,19,9.15,9
Brett Lee,2706,109,7.22,7
Cameron Leon White,484,26,8.77,9
Carlos Ricardo Brathwaite,1093,48,7.5,6
Chamara Kantha Kapugedera,112,7,8.67,3
Chandrasekharan Ganapathy,496,33,6.42,9
Charl Kenneth Langeveldt,2332,138,7.62,2
Chetanya Nanda,366,18,6.91,9
Christopher Austin Lynn,78,3,7.15,3
Christopher Henry Gayle,1864,77,7.54,2
Christopher Henry Morris,2614,150,7.6,7
Christopher James Jordan,1219,61,8.64,6
Clinton James McKay,2061,117,7.84,2
Colin Alexander Ingram,272,15,7.54,9
Colin Munro,286,12,9.69,9
Congenige Randhi Dilhara Fernando,1187,74,7.8,6
Corey James Anderson,564,24,8.56,1
Dale Willem Steyn,3975,201,6.67,4
Daniel Joseph Harris,400,21,7.75,9
Daniel Luca Vettori,3236,131,6.34,4
Daniel Trevor Christian,2816,130,8.28,7
Darren Julius Garvey Sammy,3054,146,7.74,7
Darren Scott Lehmann,228,11,6.73,9
David Andrew Miller,18,0,10.33,3
David Andrew Warner,6,0,13,3
David Johan Jacobs,6,0,14,3
David John Hussey,1438,68,7.47,0
David Wiese,1821,109,8.25,2
Deepak Hooda,277,7,7.64,9
Deepak Lokandersingh Chahar,234,6,8.1,9
Demuni Nuwan Tharanga Zoysa,324,21,6.96,9
Denagamage Proboth Mahela de Silva Jayawardene,69,3,7.13,3
Dharaka Bhanidipati Ravi Teja,108,4,8.33,3
Dhawal Sunil Kulkarni,1936,104,7.7,2
Dillon du Preez,1574,78,7.32,0
Dinesh Salunkhe,48,1,9.75,3
Dirk Peter Nannes,4624,257,7.42,8
Doddapaneni Kalyankrishna,240,11,8.82,9
Dominic John Thornely,533,28,7.71,1
Domnic Joseph Muthuswami,425,22,7.51,9
Douglas Andrew John Bracewell,797,52,8.79,1
Douglas Erwin Bollinger,2596,134,7.73,7
Dwayne John Bravo,6239,344,8.08,5
Dwayne Romel Smith,1992,99,7.85,2
Faiz Yakub Fazal,144,10,7.37,3
Farhaan Behardien,114,5,9.26,3
Fidel Henderson Edwards,1778,84,7.57,2
Francois du Plessis,790,50,6.96,1
Gade Hanuma Vihari,240,16,6.85,9
Gagandeep Singh Toor,306,12,7.25,9
George Bradley Hogg,2645,125,6.81,7
George John Bailey,12,0,12,3
Glenn Donald McGrath,432,20,6.83,9
Glenn James Maxwell,1425,53,7.91,0
Graeme Craig Smith,96,4,9.25,3
Graham Richard Napier,2905,164,7.91,7
Gurinder Singh Sandhu,540,23,7.78,1
Gurkeerat Singh Mann,120,6,7.4,3
Harbhajan Singh,4302,190,6.7,8
Hardik Himanshu Pandya,1009,45,7.64,6
Harmeet Singh Baddhan,24,1,8.5,3
Harmeet Singh Bansal,594,27,7.8,1
Harpreet Singh Bhatia,126,6,5.38,3
Harshal Vikrambhai Patel,1211,55,7.65,6
Hashim Mahomed Amla,2,0,15,3
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,1116,57,7.41,6
Irfan Khan Pathan,3283,161,7.53,4
Ishan Malhotra,96,4,8.37,3
Ishank Rajiv Jaggi,73,2,6.82,3
Ishant Sharma,2239,84,7.85,2
Ishwar Chand Pandey,900,43,7.22,6
Ishwar Haribhai Chaudhary,136,9,8.25,3
Jacob David Philip Oram,1839,81,7.84,2
Jacques Henry Kallis,2747,114,7.6,7
Jagadeesha Suchith,432,18,7.83,9
Jagrit Anand,19,0,10.73,3
Jalaj Sahay Saxena,611,32,7.01,1
Jamaluddin Syed Mohammad,750,35,7.59,1
James Douglas Sheehan Neesham,991,57,8.62,6
James Edward Charles Franklin,2123,96,8.28,2
James Peter Faulkner,2792,158,7.86,7
James Redfern Hopes,1702,67,7.94,0
Jaskaran Singh Butta,275,12,8.09,9
Jason Omar Holder,1373,54,7.59,0
Jasprit Jasbirsingh Bumrah,1832,95,7.23,2
Jayant Yadav,502,15,5.97,9
Jaydev Dipakbhai Unadkat,1386,78,7.51,0
Jean-Paul Duminy,1514,67,7.54,0
Jerome Everton Taylor,1546,87,7.76,0
Jesse Daniel Ryder,915,33,7.86,6
Joginder Sharma,1123,55,7.18,6
Johan Botha,3672,146,6.42,4
Johannes Albertus Morkel,4697,230,7.66,8
Johannes Jacobus van der Wath,2185,108,7.58,2
John Wayne Hastings,1718,96,7.57,0
Juan Theron,2586,135,7.21,7
Justin Miles Kemp,1016,56,7.51,6
Kamran Khan,208,12,8.65,3
Kane Stuart Williamson,716,27,7.07,1
Kane William Richardson,1184,61,8.01,6
Karan Goel,193,10,7.02,3
Karanveer Singh,302,18,8.96,9
Karn Vinod Sharma,1483,69,7.45,0
Karun Kaladharan Nair,48,2,6.87,3
Kathuria Anureet Singh,878,42,8.13,1
Kedar Mahadeo Jadhav,60,4,8.8,3
Kemar Andre Jamal Roach,864,27,7.9,1
Kevin Peter Pietersen,396,17,8.09,9
Kevon Keston Cooper,2821,165,7.16,7
Khan Abdur Razzak,1594,92,6.93,0
Kieron Adrian Pollard,3854,219,8.01,4
Konda Bhaskar Arun Karthik,24,2,11,3
Konganda Charamanna Cariappa,204,11,8.44,3
Kotragada Prabhu Appanna,414,21,7.68,9
Krishankumar Dinesh Karthik,12,1,5,3
Krishmar Santokie,1988,144,6.86,2
Krishnakant Rameshwar Upadhyay,421,20,7.76,9
Krunal Himashu Pandya,449,22,6.61,9
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,2081,111,7.19,2
Kuldeep Yadav,520,37,7.2,1
Kyle John Abbott,1905,87,7.93,2
Lakshmipathy Balaji,2161,126,7.76,2
Laxmi Ratan Shukla,976,47,7.11,6
Lee Andrew Carseldine,84,7,8.07,3
Lendl Mark Platter Simmons,370,22,8.62,9
Lindamlilage Prageeth Chamara Silva,24,1,9,3
Lovesh Ablash,456,36,6.56,9
Luke James Wright,1799,79,8.54,2
Luteru Ross Poutoa Lote Taylor,186,8,9.03,3
Magina Thilan Thushara Mirando,1066,67,7.42,6
Mahendra Singh Dhoni,12,0,12.5,3
Makhaya Ntini,1263,63,7.48,6
Mandeep Singh,195,13,5.93,3
Manish Krishnanand Pandey,168,10,7.57,3
Manoj Kumar Tiwary,318,16,7.96,9
Manpreet Singh Gony,1433,69,7.65,0
Marchant de Lange,968,53,8.76,6
Marcus Peter Stoinis,264,19,7.88,9
Marlon Nathaniel Samuels,1501,66,7.03,0
Martin James Guptill,12,0,9.5,3
Mashrafe Bin Mortaza,2151,84,7.73,2
Mayank Anurag Agarwal,6,0,8,3
Michael Edward Killeen Hussey,6,0,5,3
Michael Gertges Neser,576,32,8.64,1
Michael John Buchanan,12,1,12,3
Michael John Clarke,273,9,8.08,9
Michael John Lumb,36,3,10.83,3
Mitchell Aaron Starc,1860,127,7.14,2
Mitchell Guy Johnson,1804,94,7.84,2
Mitchell John McClenaghan,2169,134,7.98,2
Mitchell Ross Marsh,695,37,8.14,1
Mithun Manhas,104,5,8.25,3
Mohamed Farveez Maharoof,1656,88,7.35,0
Mohammad Ashraful,335,23,7.95,9
Mohammad Asif,832,50,7.62,1
Mohammad Hafeez,2939,135,6.23,7
Mohammad Imran Tahir,2862,156,6.88,7
Mohammad Mustafizur Rahman,943,57,6.33,6
Mohammad Younis Khan,104,6,7.84,3
Mohammed Shami,1053,60,7.84,6
Mohit Sharma,1584,87,8.03,0
Mohnish Bipinbhai Parmar,138,4,8.52,3
Moises Constantino Henriques,2072,101,8.12,2
Morne Morkel,3526,174,7.42,4
Munaf Musa Patel,2039,100,6.84,2
Murali Kartik,3069,110,6.74,7
Murali Vijay,60,0,6.8,3
Murugan Ashwin,309,17,7.14,9
Musavir Asmat Khote,132,6,8.5,3
Muttiah Muralitharan,3705,179,6.38,4
Narangoda Liyanaarachchilage Tissara Chirantha Perera,2878,155,8.37,7
Nathan John Rimmington,1548,82,7.85,0
Nathan Leslie McCullum,3162,157,7.18,7
Nathan Mitchell Coulter-Nile,1634,88,7.74,0
Nayan Dilip Doshi,1008,68,6.8,6
Niraj Kanubhai Patel,222,11,8.67,9
Nitish Rana,36,1,10.16,3
Owais Alam Shah,57,5,8.21,3
Padmanabhan Prasanth,955,63,5.98,6
Paidikalva David Vijaykumar,342,10,8.17,9
Palani Amarnath,318,19,9.2,9
Pankaj Singh,845,33,7.61,1
Pardeep Sahu,129,4,7.67,3
Parvez Rasool Zarghav,810,27,6.88,1
Parvinder Awana,1359,77,7.6,0
Patangay Manikrao Sarvesh Kumar,30,1,8.4,3
Patrick James Cummins,1093,57,7.62,6
Paul Chandrasekhar Valthaty,247,11,8.3,9
Paul David Collingwood,1372,81,7.09,0
Pawan Negi,1049,48,7.48,6
Pawan Suyal,353,12,7.93,9
Piyush Pramod Chawla,3684,182,7.38,4
Pradeep Sangwan,1300,61,7.56,6
Pragyan Prayish Ojha,2771,148,7.13,7
Prasanth Parameswaran,707,33,7.74,1
Praveenkumar Sakat Singh,3423,130,7.42,4
Pravin Vijay Tambe,1140,59,7.03,6
Rahil Akhilahmed Shaikh,6,0,11,3
Rahul Artiprasad Shukla,529,24,8.22,1
Rahul Sharma,1590,80,7.11,0
Rahul Tewatia,72,3,7.5,3
Raiphi Vincent Gomez,552,17,7.88,1
Rajagopal Sathish,487,20,7.23,9
Rajat Bhatia,2364,103,7.17,2
Rajesh Kinyaram Bishnoi,6,0,10,3
Rajesh Vithal Pawar,132,6,8.13,3
Raju Ravi Bhatkal,297,17,7.65,9
Ramesh Rajaram Powar,450,14,7.49,9
Ramnaresh Ronnie Sarwan,18,2,7.33,3
Ramsawamy Shreyas Gopal,217,12,7.85,9
Ranadeb Ranjit Bose,234,11,8.56,9
Ranganath Vinay Kumar,3028,155,7.91,7
Ravichandran Ashwin,4150,200,6.74,8
Ravinder Singh Bopara,3262,165,7.35,4
Ravindranath Rampaul,2446,145,7.34,7
Ravindrasinh Anirudhsinh Jadeja,2777,119,7.67,7
Raymond William Price,1464,58,6.39,0
Reetinder Singh Sodhi,96,5,7.87,3
Ricky Thomas Ponting,12,1,11.5,3
Rishi Dhawan,1270,50,7.4,6
Robert John Quiney,6,0,13,3
Robin John Peterson,2630,122,7.09,7
Robin Venu Uthappa,6,0,11,3
Roelof Erasmus van der Merwe,2934,142,7.06,7
Rohan Ravindra Raje,511,30,7.83,9
Rohan Sunil Gavaskar,87,3,7.72,3
Rohit Gurunath Sharma,628,29,7.8,1
Ronit Gajanan More,209,6,7.66,3
Rudra Pratap Singh,2903,146,7.51,7
Rujul Haren Bhatt,329,13,7.13,9
Ryan James Harris,1419,81,7.39,0
Ryan McLaren,3027,140,7.92,7
Ryan Neil ten Doeschate,2011,104,8.06,2
Ryan Ninan,36,3,10.83,3
Sachin Baby,94,3,8.48,3
Sachin Ramesh Tendulkar,93,2,7.93,3
Sachin Rana,357,20,6.77,9
Sahibzada Mohammad Shahid Khan Afridi,4842,240,6.64,8
Salman Butt,108,5,7.83,3
Samuel Badree,3135,146,5.61,7
Sanath Teran Jayasuriya,1593,77,7.46,0
Sandeep Sharma,1268,70,7.37,6
Sanjay Bapusaheb Bangar,578,31,7.35,1
Sanju Viswanath Samson,3,1,8,3
Sarabjit Singh Ladda,234,10,8.41,9
Saurabh Sushant Bandekar,568,38,7.85,1
Sayed Iqbal Abdulla,1599,76,6.87,0
Scott Bernard Styris,2963,125,7.36,7
Scott Michael Boland,396,21,8.03,9
Sean Anthony Abbott,703,36,8.83,1
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1912,97,6.38,2
Separamadu Lasith Malinga Swarnajith,4835,299,6.69,8
Shadab Bashir Jakati,1572,70,7.52,0
Shahbaz Nadeem,1812,70,6.59,2
Shakib Al Hasan,4419,242,6.75,8
Shalabh Jagdishprasad Srivastava,452,20,8.66,9
Shane Edward Bond,939,51,7.08,6
Shane Keith Warne,1548,70,7.22,0
Shane Michael Harwood,845,48,7.66,1
Shane Robert Watson,3490,172,7.68,4
Shanthakumaran Sreesanth,1192,50,8.25,6
Shardul Narendra Thakur,262,16,7.78,9
Shaun Edward Marsh,12,0,6.5,3
Shaun Maclean Pollock,937,45,6.37,6
Shaun William Tait,3600,214,7.89,4
Shikhar Dhawan,48,4,8.25,3
Shivam Sharma,163,9,7.91,3
Shivil Kaushik,138,6,8.34,3
Shoaib Akhtar,804,44,7.29,1
Shoaib Malik,2486,114,7.03,7
Shoaib Shabbir Shaikh,84,4,10.07,3
Shrikant Bhaskar Wagh,629,39,7.55,1
Shrikant Shrihari Mundhe,463,26,8.11,9
Siddharth Dilip Chitnis,72,4,9.5,3
Siddharth Kaul,864,47,6.54,1
Siddharth Kishorkumar Trivedi,2103,103,7.68,2
Simon Mathew Katich,18,0,9.66,3
Sohail Tanvir,4892,238,7.23,8
Sourav Chandidas Ganguly,573,29,7.91,1
Sourav Subrata Sarkar,79,2,9.64,3
Sreenath Aravind,1211,72,7.8,6
Sridharan Sriram,168,4,8.1,3
Steven Peter Devereux Smith,785,51,7.58,1
Stuart Terence Roger Binny,1033,47,7.54,6
Subramaniam Badrinath,18,1,7.33,3
Sudeep Tyagi,364,16,7.91,9
Sumit Narwal,643,27,7.68,1
Sunil Bandacharya Joshi,283,13,7.16,9
Sunil Philip Narine,4478,241,5.68,8
Sunny Suresh Gupta,254,8,6.77,9
Suresh Kumar Raina,1305,50,7.14,6
Suryakumar Ashok Yadav,132,6,6.36,3
Swapnil Kamlesh Singh,432,28,7.06,9
Syed Mohammad Shoaib Ahmed,102,5,8.94,3
Tabraiz Shamsi,1195,57,7.21,6
Taduri Prakashchandra Sudhindra,637,35,6.75,1
Tanmay Manoj Srivastava,24,0,6.5,3
Tanmay Mishra,42,3,8.28,3
Taruwar Kohli,191,9,6.81,3
Tatenda Taibu,24,0,10.25,3
Tillakaratne Mudiyanselage Dilshan,1564,64,7.25,0
Timil Kaushik Patel,134,10,6.31,3
Timothy Grant Southee,2591,135,8.17,7
Tirumalasetti Laxminarayana Suman,426,17,7.92,9
Travis Michael Head,109,6,8.8,3
Trent Alexander Boult,1083,52,7.94,6
Tyron Henderson,1824,93,7.22,2
Udit Alok Birla,6,0,24,3
Umar Gul,2932,188,7.37,7
Umeshkumar Tilak Yadav,1989,92,8.17,2
Varun Raymond Aaron,970,40,8.2,6
Veer Pratap Singh,300,14,8.34,9
Vidyut Sivaramakrishnan,210,14,6.91,3
Vijay Shankar,201,8,8.92,3
Vijaykumar Yo Mahesh,929,52,7.72,6
Vikram Rajvir Singh,667,31,7.97,1
Vikramjeet Malik,827,44,7.34,1
Vikrant Shyam Yeligati,78,2,8.38,3
Virat Kohli,454,8,8.73,9
Virender Sehwag,358,22,8.31,9
Visvajitsinh Dilipsinh Solanki,153,6,6.43,3
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,64,6.77,6
Wayne Dillon Parnell,2912,146,7.51,7
Wilkin Arvind Mota,249,11,7.18,9
Yalaka Gnaneswara Rao,114,1,8.52,3
Yalaka Venugopal Rao,306,8,8.78,9
Yashpal Singh,218,9,6.85,9
Yogesh Nagar,285,21,7.36,9
Yusuf Adam Abdulla,1187,63,6.3,6
Yusuf Khan Pathan,2121,94,7.66,2
Yuvraj Singh,1501,79,7.25,0
Yuzvendra Singh Chahal,1657,85,7.31,0
Zaheer Khan,2803,129,7.46,7
